Order Number,Order Type,Supplier Number,Master Contract,Confidential Flag,URL,LEM Value
400001,OM,523384,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171655135, 
400017,OM,2541506,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171684287, 
400024,OM,2528234,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685295, 
400026,OM,567236,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171683713, 
400029,OM,273151,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171684186, 
400033,OM,1348263,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171683716, 
400037,OM,566552,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171686554, 
400039,OM,2571952,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171686906, 
400040,OM,2537695,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171684504, 
400041,OM,1204812,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685187, 
400042,OM,563262,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171686302, 
400044,OM,1630466,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685190, 
400045,OM,2490199,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171684024, 
400047,OM,1013677,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685196, 
400048,OM,2106683,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171687032, 
400049,OM,1635481,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685818, 
400050,OM,2484910,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171687303, 
400053,OM,2522932,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171686240, 
400054,OM,2522932,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685634, 
400056,OM,1315620,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171685545, 
400057,OM,1315620,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171687342, 
400062,OM,2520144,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171710148, 
400063,OM,2532589,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171710636, 
400064,OM,1884323,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171715718, 
400066,OM,2645692,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171716841, 
400067,OM,2517271,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171711939, 
400094,OM,560363,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171734734, 
400096,OM,582450,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171735270, 
400098,OM,408017,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171734458, 
400099,OM,1972113,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171733182, 
400100,OM,2461137,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171737581, 
400102,OM,289157,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171735850, 
400103,OM,2027817,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171735412, 
400105,OM,1149669,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171736228, 
400106,OM,1149669,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171738564, 
400114,OM,1495335,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171749717, 
400115,OM,2610953,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171748737, 
400116,OM,2754131,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171749236, 
400129,OM,564296,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171756181, 
400136,OM,1012868,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171760705, 
400157,OM,2460431,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171771176, 
400158,OM,2022988,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171770805, 
400161,OM,579362,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171775558, 
400162,OM,579362,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171778913, 
400179,OM,552517,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171791786, 
400180,OM,552517,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171795748, 
400181,OM,1012179,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171803441, 
400262,OM,1315490,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171911364, 
400281,OM,2546432,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171918001, 
400284,OM,2652772,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171916356, 
400295,OM,210310,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171922203, 
400299,OM,1365331,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171922063, 
400301,OM,2013682,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171921926, 
400302,OM,200816,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171922886, 
400312,OM,1081972,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171922536, 
400339,OM,2113570,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171934585, 
400341,OM,1444436,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171938686, 
400344,OM,2549171,        ,N,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171932048, 
400346,OM,2748324,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171941710, 
400347,OM,103195,        ,Y,http://livelink.encana.com/livelink/livelink.exe?func=ll&objId=171934921, 
