DATAID,NAME,path
175381413,00273|402869|1,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
175746658,00273|402869|2,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176193691,00273|407215|694,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176395778,00273|406664|747,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176406867,00273|407215|764,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176575699,00273|402869|4,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176592348,00273|403826|803,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176812969,00273|402869|5,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176817122,00273|400419|879,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
176884074,00273|400419|905,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177099822,00273|406673|971,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177107737,00273|406673|972,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177209594,00273|402869|6,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177209974,00273|403826|1002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177215607,00273|402869|7,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177336006,00273|402869|8,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177411838,00273|408725|61,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177411845,00273|408725|62,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177440519,00273|408725|63,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177497079,00273|400419|1102,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
177850656,00273|408725|66,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178618742,00273|400419|1124,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178635007,00273|402869|9,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178652580,00273|402869|10,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178659345,00273|401169|1132,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178659606,00273|408725|68,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
178677093,00273|406664|1138,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179237806,00273|401169|1165,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179317744,00273|408733|1,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179846489,00273|408725|72,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179855657,00273|408725|74,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179858476,00273|400419|1177,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179858502,00273|400419|1186,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179859201,00273|401557|71,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179874275,00273|408725|75,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179875012,00273|406664|1197,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179905506,00273|408725|80,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
179913534,00273|408725|79,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
180033170,00273|408725|82,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
180065894,00273|406664|1229,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
180069717,00273|408725|83,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:RFI:RFIInProgress
