DATAID,NAME,path,Subtype,VALSTR
171655135,00273-OM-400001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400001
171655137,00273-OM-400001-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400001,Folder,
171730214,VISTA MC 0745 (EP) - Executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400001:00273-OM-400001-000,Document,
171758493,400001 - Vista Projects.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400001:00273-OM-400001-000,Document,
171683713,00273-OM-400026,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400026
171685596,00273-OM-400026-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400026,Folder,
172910404,Tomco MCC 400026 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400026:00273-OM-400026-000,Document,
186602475,00273-OM-400026-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400026,Folder,
192463974,00273-OM-400026-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400026,Folder,
171683716,00273-OM-400033,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400033
171683717,00273-OM-400033-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
172853087,Crude MCC 400033.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-000,Document,
174121718,00273-OM-400033-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
174509942,Crude CO400033_1 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-001,Document,
175099004,00273-OM-400033-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
175101828,Glycol Tracing Table 3 Rates April 2013.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-002,Document,
175285060,CO400033_002 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-002,Document,
176669889,00273-OM-400033-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
176723713,Crude CO 400033_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-003,Document,
179279035,00273-OM-400033-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
179263332,Crude Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-004,Document,
179345337,Crude Change Order 400033_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-004,Document,
180650502,00273-OM-400033-005,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
