DATAID,NAME,path,Subtype,VALSTR
175381413,00273|402869|1,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
175551735,402869_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|1,Document,
175746658,00273|402869|2,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
175992051,402869_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|2,Document,
176193691,00273|407215|694,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,407215
176365874,407215_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|407215|694,Document,
176395778,00273|406664|747,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
176410508,406664_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|747,Document,
176406867,00273|407215|764,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,407215
176584965,407215_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|407215|764,Document,
176575699,00273|402869|4,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
176634868,402869_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|4,Document,
176592348,00273|403826|803,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,403826
176928039,403826_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|403826|803,Document,
176812969,00273|402869|5,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
176908456,402869_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|5,Document,
176817122,00273|400419|879,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
176868404,400419_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|879,Document,
176884074,00273|400419|905,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
177107740,400419_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|905,Document,
177099822,00273|406673|971,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406673
177487613,406673_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406673|971,Document,
177107737,00273|406673|972,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406673
177117992,406673_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406673|972,Document,
177209594,00273|402869|6,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
177305745,402869_5.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|6,Document,
177209974,00273|403826|1002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,403826
177487725,403826_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|403826|1002,Document,
177215607,00273|402869|7,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
177305245,402869_6.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|7,Document,
177336006,00273|402869|8,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
177442452,402869_7.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|8,Document,
177411838,00273|408725|61,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
177490030,Phase F  Silver Concrete's RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|61,Document,
177492101,408725_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|61,Document,
177411845,00273|408725|62,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
177490031,408725_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|62,Document,
177491512,Phase F  Silver Concrete's RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|62,Document,
177440519,00273|408725|63,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
177443069,408725_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|63,Document,
177443070,Phase F  Silver Concrete's RFI(s)  801-71  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|63,Document,
177497079,00273|400419|1102,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
177850656,00273|408725|66,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
178696970,Phase F  Silver Concrete's  RFI(s)  801-79  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|66,Document,
178697558,408725_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|66,Document,
178618742,00273|400419|1124,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
178658463,400419_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|1124,Document,
178635007,00273|402869|9,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
179216089,402869_8.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|9,Document,
178652580,00273|402869|10,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,402869
178675809,402869_9.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|402869|10,Document,
178659345,00273|401169|1132,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,401169
178659606,00273|408725|68,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
186479671,408725_5.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|68,Document,
178677093,00273|406664|1138,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
178970407,406664_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|1138,Document,
179237806,00273|401169|1165,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,401169
179279804,401169_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|401169|1165,Document,
179317744,00273|408733|1,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408733
179860153,408733_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408733|1,Document,
179846489,00273|408725|72,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
179855657,00273|408725|74,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180085476,408725_7.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|74,Document,
180085576,Phase F  Silver Concrete's RFI(s)  802-77  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|74,Document,
179858476,00273|400419|1177,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
180025666,400419_5.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|1177,Document,
179858502,00273|400419|1186,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
179866902,400419_6.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|1186,Document,
179859201,00273|401557|71,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,401557
180014268,401557_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|401557|71,Document,
180021067,Phase F  Brytex Building Systems Inc's RFI(s)  2027-13  401557.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|401557|71,Document,
179874275,00273|408725|75,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
179916706,Phase F  Silver Concrete's RFI(s)  801-78  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|75,Document,
179917556,408725_8.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|75,Document,
179875012,00273|406664|1197,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
180066918,406664_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|1197,Document,
179905506,00273|408725|80,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180072441,Phase F  Silver Concrete's  RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|80,Document,
180072442,408725_10.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|80,Document,
179913534,00273|408725|79,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180069893,408725_9.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|79,Document,
180069894,Phase F  Silver Concrete's  RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|79,Document,
180033170,00273|408725|82,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180204556,408725_11.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|82,Document,
180204557,Phase F  Silver Concrete's RFI(s)  801-81  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|82,Document,
180065894,00273|406664|1229,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
180082658,406664_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|1229,Document,
180069717,00273|408725|83,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180101014,408725_12.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|83,Document,
180104404,Phase F  Silver Concrete's RFI(s)  802-82  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|83,Document,
180070807,00273|406664|1231,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
180080080,406664_5 .pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|1231,Document,
180087969,00273|407215|1250,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,407215
180092251,407215_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|407215|1250,Document,
180088717,00273|406664|1256,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,406664
180337280,406664_6.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|406664|1256,Document,
180125670,00273|403826|1269,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,403826
180172788,00273|408725|89,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180343382,408725_14.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|89,Document,
180343383,Phase F  Silver concrete's RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|89,Document,
180173174,00273|408725|88,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180337184,408725_13.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|88,Document,
180337185,Phase F  Silver concrete's RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|88,Document,
180173178,00273|408725|90,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180343376,408725_15.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|90,Document,
180343377,Phase F  Silver Concrete's  RFI(s)  802-85  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|90,Document,
180237736,00273|408725|91,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408725
180342798,Phase F  Silver concrete's RFI(s)  Multiple  408725.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|91,Document,
180342980,408725_16.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408725|91,Document,
180269228,00273|400419|1278,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
180293455,400419_7.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|1278,Document,
180296137,00273|400419|1287,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,400419
180333235,400419_8.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|400419|1287,Document,
180310500,00273|408733|2,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI,Folder,408733
180393976,408733_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-RFI:00273|408733|2,Document,
